sl,token_index,reading,form,lemma,pos,morph,gloss
17,1,"θνητὸν διὰ τὴν [εἰς γῆν] ταφήν,",θνητὸν,θνητός,adj,pred nom sg n,mortal
17,2,"θνητὸν διὰ τὴν [εἰς γῆν] ταφήν,",διὰ,διά,prep,+acc,because of
17,3,"θνητὸν διὰ τὴν [εἰς γῆν] ταφήν,",τὴν,ὁ,art,acc sg f,the
17,4,"θνητὸν διὰ τὴν [εἰς γῆν] ταφήν,",εἰς,εἰς,prep,+acc,into
17,5,"θνητὸν διὰ τὴν [εἰς γῆν] ταφήν,",γῆν,γῆ,noun,acc sg f,earth
17,6,"θνητὸν διὰ τὴν [εἰς γῆν] ταφήν,",ταφήν,ταφή,noun,acc sg f,burial
18,1,ἀθάνατον διὰ τὴν ἐκ [νεκρῶν] ἀνάστασιν.,ἀθάνατον,ἀθάνατος,adj,pred nom sg n,immortal
18,2,ἀθάνατον διὰ τὴν ἐκ [νεκρῶν] ἀνάστασιν.,διὰ,διά,prep,+acc,because of
18,3,ἀθάνατον διὰ τὴν ἐκ [νεκρῶν] ἀνάστασιν.,τὴν,ὁ,art,acc sg f,the
18,4,ἀθάνατον διὰ τὴν ἐκ [νεκρῶν] ἀνάστασιν.,ἐκ,ἐκ,prep,+gen,out of
18,5,ἀθάνατον διὰ τὴν ἐκ [νεκρῶν] ἀνάστασιν.,νεκρῶν,νεκρός,adj,gen pl m subst,dead ones
18,6,ἀθάνατον διὰ τὴν ἐκ [νεκρῶν] ἀνάστασιν.,ἀνάστασιν,ἀνάστασις,noun,acc sg f,resurrection
19,1,"παλαιὸς μὲν ὁ νόμος,",παλαιὸς,παλαιός,adj,pred nom sg m,old
19,2,"παλαιὸς μὲν ὁ νόμος,",μὲν,μέν,ptcl,postpos coord ptcl,on the one hand
19,3,"παλαιὸς μὲν ὁ νόμος,",ὁ,ὁ,art,nom sg m,the
19,4,"παλαιὸς μὲν ὁ νόμος,",νόμος,νόμος,noun,nom sg m,law
20,1,"[καινὸς δὲ ὁ] λόγος,",καινὸς,καινός,adj,pred nom sg m,new
20,2,"[καινὸς δὲ ὁ] λόγος,",δὲ,δέ,ptcl,postpos advrs ptcl,but
20,3,"[καινὸς δὲ ὁ] λόγος,",ὁ,ὁ,art,nom sg m,the
20,4,"[καινὸς δὲ ὁ] λόγος,",λόγος,λόγος,noun,nom sg m,word; discourse
21,1,"πρόσκαιρος ὁ τύπος,",πρόσκαιρος,πρόσκαιρος,adj,pred nom sg m,temporary
21,2,"πρόσκαιρος ὁ τύπος,",ὁ,ὁ,art,nom sg m,the
21,3,"πρόσκαιρος ὁ τύπος,",τύπος,τύπος,noun,nom sg m,type; figure
22,1,"ἀΐδιος δὲ ἡ χάρις,",ἀΐδιος,ἀΐδιος,adj,pred nom sg f,everlasting
22,2,"ἀΐδιος δὲ ἡ χάρις,",δὲ,δέ,ptcl,postpos advrs ptcl,but
22,3,"ἀΐδιος δὲ ἡ χάρις,",ἡ,ὁ,art,nom sg f,the
22,4,"ἀΐδιος δὲ ἡ χάρις,",χάρις,χάρις,noun,nom sg f,grace
23,1,"[φ]θα[ρτὸν τὸ πρόβατον,]",φθαρτὸν,φθαρτός,adj,pred nom sg n,corruptible
23,2,"[φ]θα[ρτὸν τὸ πρόβατον,]",τὸ,ὁ,art,nom sg n,the
23,3,"[φ]θα[ρτὸν τὸ πρόβατον,]",πρόβατον,πρόβατον,noun,nom sg n,sheep; sacrificial lamb
24,1,"ἄφθαρτος ὁ κύριος,",ἄφθαρτος,ἄφθαρτος,adj,pred nom sg m,incorruptible
24,2,"ἄφθαρτος ὁ κύριος,",ὁ,ὁ,art,nom sg m,the
24,3,"ἄφθαρτος ὁ κύριος,",κύριος,κύριος,noun,nom sg m,Lord
26,1,"μὴ συντριβεὶς ὡς ἀμνός,",μὴ,μή,ptcl,neg ptcl,not
26,2,"μὴ συντριβεὶς ὡς ἀμνός,",συντριβεὶς,συντρίβω,ptcp,aor pass ptcp nom sg m,having been broken
26,3,"μὴ συντριβεὶς ὡς ἀμνός,",ὡς,ὡς,ptcl,comp ptcl,as; like
26,4,"μὴ συντριβεὶς ὡς ἀμνός,",ἀμνός,ἀμνός,noun,nom sg m,lamb
27,1,ἀνασταθεὶς δὲ ὡς θεός.,ἀνασταθεὶς,ἀνίστημι,ptcp,aor pass ptcp nom sg m,having been raised
27,2,ἀνασταθεὶς δὲ ὡς θεός.,δὲ,δέ,ptcl,postpos advrs ptcl,but
27,3,ἀνασταθεὶς δὲ ὡς θεός.,ὡς,ὡς,ptcl,comp ptcl,as; like
27,4,ἀνασταθεὶς δὲ ὡς θεός.,θεός,θεός,noun,nom sg m,God
28,1,εἰ καὶ γὰρ ὡς πρόβατον εἰς σφαγὴν ἤχθη.,εἰ,εἰ,conj,subord conj,if; although
28,2,εἰ καὶ γὰρ ὡς πρόβατον εἰς σφαγὴν ἤχθη.,καὶ,καί,ptcl,adv/intens ptcl,even
28,3,εἰ καὶ γὰρ ὡς πρόβατον εἰς σφαγὴν ἤχθη.,γὰρ,γάρ,ptcl,postpos expl ptcl,for
28,4,εἰ καὶ γὰρ ὡς πρόβατον εἰς σφαγὴν ἤχθη.,ὡς,ὡς,ptcl,comp ptcl,as; like
28,5,εἰ καὶ γὰρ ὡς πρόβατον εἰς σφαγὴν ἤχθη.,πρόβατον,πρόβατον,noun,nom sg n,sheep
28,6,εἰ καὶ γὰρ ὡς πρόβατον εἰς σφαγὴν ἤχθη.,εἰς,εἰς,prep,+acc,into; to
28,7,εἰ καὶ γὰρ ὡς πρόβατον εἰς σφαγὴν ἤχθη.,σφαγὴν,σφαγή,noun,acc sg f,slaughter
28,8,εἰ καὶ γὰρ ὡς πρόβατον εἰς σφαγὴν ἤχθη.,ἤχθη,ἄγω,verb,aor pass ind 3sg,was led
29,1,ἀλλ᾽ οὐκ ἦν πρόβατον,ἀλλ᾽,ἀλλά,conj,advrs conj,but
29,2,ἀλλ᾽ οὐκ ἦν πρόβατον,οὐκ,οὐ,ptcl,neg ptcl,not
29,3,ἀλλ᾽ οὐκ ἦν πρόβατον,ἦν,εἰμί,verb,impf act ind 3sg,was
29,4,ἀλλ᾽ οὐκ ἦν πρόβατον,πρόβατον,πρόβατον,noun,pred nom sg n,sheep
30,1,"[εἰ καὶ ὡς ἀμνὸς ἄφωνος,]",εἰ,εἰ,conj,subord conj,if; although
30,2,"[εἰ καὶ ὡς ἀμνὸς ἄφωνος,]",καὶ,καί,ptcl,adv/intens ptcl,even
30,3,"[εἰ καὶ ὡς ἀμνὸς ἄφωνος,]",ὡς,ὡς,ptcl,comp ptcl,as; like
30,4,"[εἰ καὶ ὡς ἀμνὸς ἄφωνος,]",ἀμνὸς,ἀμνός,noun,nom sg m,lamb
30,5,"[εἰ καὶ ὡς ἀμνὸς ἄφωνος,]",ἄφωνος,ἄφωνος,adj,nom sg m,voiceless; silent
31,1,[ἀλ]λ᾽ οὐδὲ ἀμνὸς ἦν.,ἀλλ᾽,ἀλλά,conj,advrs conj,but
31,2,[ἀλ]λ᾽ οὐδὲ ἀμνὸς ἦν.,οὐδὲ,οὐδέ,conj,coord/neg conj,and not; nor
31,3,[ἀλ]λ᾽ οὐδὲ ἀμνὸς ἦν.,ἀμνὸς,ἀμνός,noun,nom sg m,lamb
31,4,[ἀλ]λ᾽ οὐδὲ ἀμνὸς ἦν.,ἦν,εἰμί,verb,impf act ind 3sg,was
32,1,"ὁ μὲν γὰρ τύπος ἐγένετο,",ὁ,ὁ,art,nom sg m,the
32,2,"ὁ μὲν γὰρ τύπος ἐγένετο,",μὲν,μέν,ptcl,postpos coord ptcl,on the one hand
32,3,"ὁ μὲν γὰρ τύπος ἐγένετο,",γὰρ,γάρ,ptcl,postpos expl ptcl,for
32,4,"ὁ μὲν γὰρ τύπος ἐγένετο,",τύπος,τύπος,noun,nom sg m,type; figure
32,5,"ὁ μὲν γὰρ τύπος ἐγένετο,",ἐγένετο,γίγνομαι,verb,aor mid ind 3sg,came to be
33,1,[ἡ δὲ] ἀλήθεια ηὑρίσκετο.,ἡ,ὁ,art,nom sg f,the
33,2,[ἡ δὲ] ἀλήθεια ηὑρίσκετο.,δὲ,δέ,ptcl,postpos advrs ptcl,but
33,3,[ἡ δὲ] ἀλήθεια ηὑρίσκετο.,ἀλήθεια,ἀλήθεια,noun,nom sg f,truth; reality
33,4,[ἡ δὲ] ἀλήθεια ηὑρίσκετο.,ηὑρίσκετο,εὑρίσκω,verb,impf mp ind 3sg,was being found
34,1,ἀντὶ γὰρ τοῦ [ἀμνοῦ υἱὸ]ς ἐγένετο,ἀντὶ,ἀντί,prep,+gen,instead of
34,2,ἀντὶ γὰρ τοῦ [ἀμνοῦ υἱὸ]ς ἐγένετο,γὰρ,γάρ,ptcl,postpos expl ptcl,for
34,3,ἀντὶ γὰρ τοῦ [ἀμνοῦ υἱὸ]ς ἐγένετο,τοῦ,ὁ,art,gen sg m,of the
34,4,ἀντὶ γὰρ τοῦ [ἀμνοῦ υἱὸ]ς ἐγένετο,ἀμνοῦ,ἀμνός,noun,gen sg m,lamb
34,5,ἀντὶ γὰρ τοῦ [ἀμνοῦ υἱὸ]ς ἐγένετο,υἱὸς,υἱός,noun,nom sg m,son
34,6,ἀντὶ γὰρ τοῦ [ἀμνοῦ υἱὸ]ς ἐγένετο,ἐγένετο,γίγνομαι,verb,aor mid ind 3sg,came to be
35,1,"καὶ ἀντὶ τοῦ προβάτου ἄν[θρωπ]ος,",καὶ,καί,conj,coord conj,and
35,2,"καὶ ἀντὶ τοῦ προβάτου ἄν[θρωπ]ος,",ἀντὶ,ἀντί,prep,+gen,instead of
35,3,"καὶ ἀντὶ τοῦ προβάτου ἄν[θρωπ]ος,",τοῦ,ὁ,art,gen sg n,of the
35,4,"καὶ ἀντὶ τοῦ προβάτου ἄν[θρωπ]ος,",προβάτου,πρόβατον,noun,gen sg n,sheep
35,5,"καὶ ἀντὶ τοῦ προβάτου ἄν[θρωπ]ος,",ἄνθρωπος,ἄνθρωπος,noun,nom sg m,man
36,1,ἐν δὲ τῷ ἀνθρώπῳ Χριστὸς ὃς κεχώρηκεν [τὰ] πάντα.,ἐν,ἐν,prep,+dat,in
36,2,ἐν δὲ τῷ ἀνθρώπῳ Χριστὸς ὃς κεχώρηκεν [τὰ] πάντα.,δὲ,δέ,ptcl,postpos advrs ptcl,and; but
36,3,ἐν δὲ τῷ ἀνθρώπῳ Χριστὸς ὃς κεχώρηκεν [τὰ] πάντα.,τῷ,ὁ,art,dat sg m,the
36,4,ἐν δὲ τῷ ἀνθρώπῳ Χριστὸς ὃς κεχώρηκεν [τὰ] πάντα.,ἀνθρώπῳ,ἄνθρωπος,noun,dat sg m,man
36,5,ἐν δὲ τῷ ἀνθρώπῳ Χριστὸς ὃς κεχώρηκεν [τὰ] πάντα.,Χριστὸς,Χριστός,propn,nom sg m,Christ
36,6,ἐν δὲ τῷ ἀνθρώπῳ Χριστὸς ὃς κεχώρηκεν [τὰ] πάντα.,ὃς,ὅς,pron,rel pron nom sg m,who
36,7,ἐν δὲ τῷ ἀνθρώπῳ Χριστὸς ὃς κεχώρηκεν [τὰ] πάντα.,κεχώρηκεν,χωρέω,verb,pf act ind 3sg,has encompassed; has contained
36,8,ἐν δὲ τῷ ἀνθρώπῳ Χριστὸς ὃς κεχώρηκεν [τὰ] πάντα.,τὰ,ὁ,art,acc pl n,the
36,9,ἐν δὲ τῷ ἀνθρώπῳ Χριστὸς ὃς κεχώρηκεν [τὰ] πάντα.,πάντα,πᾶς,adj,acc pl n,all things
37,1,ἡ γοῦν τοῦ προβάτου σφαγὴ,ἡ,ὁ,art,nom sg f,the
37,2,ἡ γοῦν τοῦ προβάτου σφαγὴ,γοῦν,γοῦν,ptcl,infer ptcl,at any rate; therefore
37,3,ἡ γοῦν τοῦ προβάτου σφαγὴ,τοῦ,ὁ,art,gen sg n,of the
37,4,ἡ γοῦν τοῦ προβάτου σφαγὴ,προβάτου,πρόβατον,noun,gen sg n,sheep
37,5,ἡ γοῦν τοῦ προβάτου σφαγὴ,σφαγὴ,σφαγή,noun,nom sg f,slaughter
38,1,καὶ ἡ τοῦ αἵματος πομπὴ,καὶ,καί,conj,coord conj,and
38,2,καὶ ἡ τοῦ αἵματος πομπὴ,ἡ,ὁ,art,nom sg f,the
38,3,καὶ ἡ τοῦ αἵματος πομπὴ,τοῦ,ὁ,art,gen sg n,of the
38,4,καὶ ἡ τοῦ αἵματος πομπὴ,αἵματος,αἷμα,noun,gen sg n,blood
38,5,καὶ ἡ τοῦ αἵματος πομπὴ,πομπὴ,πομπή,noun,nom sg f,application; procession
39,1,"καὶ ἡ τοῦ νόμου γραφὴ εἰς Χριστὸν ᾿Ιησοῦν κεχώρηκεν,",καὶ,καί,conj,coord conj,and
39,2,"καὶ ἡ τοῦ νόμου γραφὴ εἰς Χριστὸν ᾿Ιησοῦν κεχώρηκεν,",ἡ,ὁ,art,nom sg f,the
39,3,"καὶ ἡ τοῦ νόμου γραφὴ εἰς Χριστὸν ᾿Ιησοῦν κεχώρηκεν,",τοῦ,ὁ,art,gen sg m,of the
39,4,"καὶ ἡ τοῦ νόμου γραφὴ εἰς Χριστὸν ᾿Ιησοῦν κεχώρηκεν,",νόμου,νόμος,noun,gen sg m,law
39,5,"καὶ ἡ τοῦ νόμου γραφὴ εἰς Χριστὸν ᾿Ιησοῦν κεχώρηκεν,",γραφὴ,γραφή,noun,nom sg f,writing; scripture
39,6,"καὶ ἡ τοῦ νόμου γραφὴ εἰς Χριστὸν ᾿Ιησοῦν κεχώρηκεν,",εἰς,εἰς,prep,+acc,into
39,7,"καὶ ἡ τοῦ νόμου γραφὴ εἰς Χριστὸν ᾿Ιησοῦν κεχώρηκεν,",Χριστὸν,Χριστός,propn,acc sg m,Christ
39,8,"καὶ ἡ τοῦ νόμου γραφὴ εἰς Χριστὸν ᾿Ιησοῦν κεχώρηκεν,",᾿Ιησοῦν,Ἰησοῦς,propn,acc sg m,Jesus
39,9,"καὶ ἡ τοῦ νόμου γραφὴ εἰς Χριστὸν ᾿Ιησοῦν κεχώρηκεν,",κεχώρηκεν,χωρέω,verb,pf act ind 3sg,has reached; has converged
40,1,"δι’ ὃν τὰ πάντα ἐν τῷ πρεσβυτέρῳ νόμῳ ἐγένετο,",δι’,διά,prep,+acc,through
40,2,"δι’ ὃν τὰ πάντα ἐν τῷ πρεσβυτέρῳ νόμῳ ἐγένετο,",ὃν,ὅς,pron,rel pron acc sg m,whom
40,3,"δι’ ὃν τὰ πάντα ἐν τῷ πρεσβυτέρῳ νόμῳ ἐγένετο,",τὰ,ὁ,art,nom pl n,the
40,4,"δι’ ὃν τὰ πάντα ἐν τῷ πρεσβυτέρῳ νόμῳ ἐγένετο,",πάντα,πᾶς,adj,nom pl n,all things
40,5,"δι’ ὃν τὰ πάντα ἐν τῷ πρεσβυτέρῳ νόμῳ ἐγένετο,",ἐν,ἐν,prep,+dat,in
40,6,"δι’ ὃν τὰ πάντα ἐν τῷ πρεσβυτέρῳ νόμῳ ἐγένετο,",τῷ,ὁ,art,dat sg m,the
40,7,"δι’ ὃν τὰ πάντα ἐν τῷ πρεσβυτέρῳ νόμῳ ἐγένετο,",πρεσβυτέρῳ,πρεσβύτερος,adj,dat sg m,older
40,8,"δι’ ὃν τὰ πάντα ἐν τῷ πρεσβυτέρῳ νόμῳ ἐγένετο,",νόμῳ,νόμος,noun,dat sg m,law
40,9,"δι’ ὃν τὰ πάντα ἐν τῷ πρεσβυτέρῳ νόμῳ ἐγένετο,",ἐγένετο,γίγνομαι,verb,aor mid ind 3sg,came to be
41,1,μᾶλλον δὲ ἐν τῷ νέῳ λόγῳ.,μᾶλλον,μᾶλλον,adv,compar adv,rather
41,2,μᾶλλον δὲ ἐν τῷ νέῳ λόγῳ.,δὲ,δέ,ptcl,postpos advrs ptcl,but
41,3,μᾶλλον δὲ ἐν τῷ νέῳ λόγῳ.,ἐν,ἐν,prep,+dat,in
41,4,μᾶλλον δὲ ἐν τῷ νέῳ λόγῳ.,τῷ,ὁ,art,dat sg m,the
41,5,μᾶλλον δὲ ἐν τῷ νέῳ λόγῳ.,νέῳ,νέος,adj,dat sg m,new
41,6,μᾶλλον δὲ ἐν τῷ νέῳ λόγῳ.,λόγῳ,λόγος,noun,dat sg m,word; discourse
42,1,"καὶ γὰρ ὁ νόμος λόγος ἐγένετο,",καὶ,καί,conj,coord conj,and
42,2,"καὶ γὰρ ὁ νόμος λόγος ἐγένετο,",γὰρ,γάρ,ptcl,postpos expl ptcl,for
42,3,"καὶ γὰρ ὁ νόμος λόγος ἐγένετο,",ὁ,ὁ,art,nom sg m,the
42,4,"καὶ γὰρ ὁ νόμος λόγος ἐγένετο,",νόμος,νόμος,noun,nom sg m,law
42,5,"καὶ γὰρ ὁ νόμος λόγος ἐγένετο,",λόγος,λόγος,noun,pred nom sg m,word; discourse
42,6,"καὶ γὰρ ὁ νόμος λόγος ἐγένετο,",ἐγένετο,γίγνομαι,verb,aor mid ind 3sg,became
43,1,"καὶ ὁ παλαιὸς καινός,",καὶ,καί,conj,coord conj,and
43,2,"καὶ ὁ παλαιὸς καινός,",ὁ,ὁ,art,nom sg m,the
43,3,"καὶ ὁ παλαιὸς καινός,",παλαιὸς,παλαιός,adj,nom sg m subst,old [thing]
43,4,"καὶ ὁ παλαιὸς καινός,",καινός,καινός,adj,pred nom sg m,new
